ID_compra,data,horario,categoria,preco_unitario,quantidade,frete,metodo_pagamento
96,2023-01-13,22:26:00,Supermercado,48.9,3,14.67,Crédito
92,2023-01-13,21:28:00,Casa/Móveis,52.9,2,9.52,Boleto
91,2023-01-13,14:08:00,Casa/Móveis,150.9,1,7.55,PIX
95,2023-01-13,21:11:00,Beleza/Saúde,240.9,3,36.14,Crédito
106,2023-01-14,19:05:00,Supermercado,92,4,25.76,PIX
107,2023-01-14,16:21:00,Livros,49.9,4,5.99,Crédito
108,2023-01-14,19:30:00,Livros,87.9,5,39.56,Crédito
102,2023-01-14,23:21:00,Livros,45.9,5,13.77,Crédito
101,2023-01-14,21:49:00,Beleza/Saúde,242.9,4,9.72,PIX
105,2023-01-14,22:58:00,Beleza/Saúde,235.9,3,42.46,Boleto
111,2023-01-14,18:38:00,Supermercado,34.9,2,2.79,Crédito
109,2023-01-14,18:46:00,Beleza/Saúde,53.9,2,5.39,Boleto
103,2023-01-14,21:56:00,Livros,108.9,4,17.42,Crédito
110,2023-01-14,22:04:00,Tecnologia,2996.69,4,822.47,Boleto
104,2023-01-14,15:35:00,Supermercado,99.9,3,11.99,Crédito
100,2023-01-14,17:59:00,Eletrodomésticos,1415.46,1,112.6,PIX
120,2023-01-15,00:53:00,Eletrodomésticos,1063.06,3,252.74,Crédito
114,2023-01-15,23:44:00,Tecnologia,3402,4,878.03,PIX
116,2023-01-15,21:03:00,Supermercado,7.9,4,0,Crédito
118,2023-01-15,14:22:00,Livros,18.9,3,2.27,Crédito
119,2023-01-15,22:49:00,Livros,2.9,4,0,PIX
121,2023-01-15,16:59:00,Tecnologia,2619.38,2,0,Crédito
117,2023-01-15,21:39:00,Casa/Móveis,117.9,5,0,Crédito
113,2023-01-15,21:46:00,Casa/Móveis,40.9,4,0,Crédito
115,2023-01-15,15:03:00,Beleza/Saúde,63.9,5,28.76,PIX
112,2023-01-15,17:28:00,Beleza/Saúde,138.9,5,34.72,PIX
131,2023-01-17,16:40:00,Casa/Móveis,84.9,5,38.2,Boleto
127,2023-01-17,23:55:00,Supermercado,65.9,1,1.98,Crédito
126,2023-01-17,23:25:00,Casa/Móveis,126.9,1,8.88,Crédito
128,2023-01-17,23:29:00,Supermercado,60.9,4,9.74,Crédito
125,2023-01-17,15:15:00,Livros,7.9,4,2.84,Crédito
122,2023-01-17,21:33:00,Casa/Móveis,98.9,4,35.6,Crédito
129,2023-01-17,23:59:00,Supermercado,61,3,16.47,PIX
124,2023-01-17,20:35:00,Beleza/Saúde,204.9,1,0,Crédito
123,2023-01-17,00:04:00,Casa/Móveis,66.9,3,8.03,Crédito
130,2023-01-17,22:32:00,Tecnologia,3633.99,2,1213.1,PIX
133,2023-01-18,18:31:00,Casa/Móveis,198.9,3,0,PIX
140,2023-01-18,22:09:00,Beleza/Saúde,20.9,1,1.25,Boleto
137,2023-01-18,22:53:00,Livros,35.9,2,3.59,PIX
132,2023-01-18,15:54:00,Tecnologia,3745.17,1,385.44,Crédito
134,2023-01-18,23:54:00,Beleza/Saúde,199.9,4,31.98,Crédito
139,2023-01-18,00:40:00,Casa/Móveis,174.9,4,34.98,Boleto
135,2023-01-18,18:30:00,Supermercado,23.9,4,3.82,PIX
136,2023-01-18,17:36:00,Livros,36.9,5,1.84,PIX
138,2023-01-18,17:37:00,Supermercado,73.9,2,0,PIX
143,2023-01-19,18:39:00,Livros,43.9,2,7.02,PIX
147,2023-01-19,17:23:00,Supermercado,61.9,5,12.38,Boleto
144,2023-01-19,17:36:00,Eletrodomésticos,227.75,4,136.36,PIX
145,2023-01-19,22:37:00,Casa/Móveis,187.9,4,30.06,PIX
149,2023-01-19,23:02:00,Tecnologia,3685.64,2,1069.73,PIX
141,2023-01-19,22:02:00,Supermercado,24.9,1,1.49,Boleto
142,2023-01-19,18:47:00,Supermercado,52.9,5,26.45,Boleto
146,2023-01-19,22:29:00,Tecnologia,3633.99,1,75.82,Crédito
148,2023-01-19,18:02:00,Beleza/Saúde,239.9,4,0,PIX
157,2023-01-20,23:27:00,Supermercado,26,1,1.82,Boleto
156,2023-01-20,20:58:00,Beleza/Saúde,62.9,4,25.16,Boleto
155,2023-01-20,18:11:00,Casa/Móveis,76.9,5,30.76,Boleto
150,2023-01-20,21:42:00,Supermercado,11.9,2,0,Boleto
158,2023-01-20,18:35:00,Tecnologia,963.18,4,906.2,PIX
151,2023-01-20,18:53:00,Casa/Móveis,43.9,3,9.22,Crédito
153,2023-01-20,14:35:00,Supermercado,60.9,4,14.62,Boleto
154,2023-01-20,00:39:00,Beleza/Saúde,78.9,2,1.58,Crédito
152,2023-01-20,21:21:00,Supermercado,18,3,1.08,PIX
167,2023-01-21,21:31:00,Eletrodomésticos,2194.22,3,736.03,Boleto
166,2023-01-21,18:28:00,Supermercado,25.9,3,0,Crédito
162,2023-01-21,21:40:00,Supermercado,7.9,3,0,PIX
168,2023-01-21,18:02:00,Casa/Móveis,163.9,1,0,PIX
165,2023-01-21,16:55:00,Livros,149.9,2,8.99,PIX
159,2023-01-21,22:15:00,Beleza/Saúde,171.9,5,34.38,Crédito
164,2023-01-21,22:53:00,Eletrodomésticos,2263.89,2,0,Boleto
160,2023-01-21,21:28:00,Livros,59.9,1,2.4,Crédito
163,2023-01-21,18:34:00,Eletrodomésticos,2112.24,5,843.25,Boleto
161,2023-01-21,00:52:00,Supermercado,90.9,4,3.64,PIX
174,2023-01-22,17:08:00,Supermercado,22.9,2,0,Boleto
173,2023-01-22,21:38:00,Eletrodomésticos,1770.35,4,677.5,Crédito
169,2023-01-22,23:11:00,Livros,101,2,2.02,Crédito
170,2023-01-22,19:13:00,Casa/Móveis,88,1,0,Boleto
175,2023-01-22,19:36:00,Casa/Móveis,12.9,2,2.32,Crédito
171,2023-01-22,17:15:00,Beleza/Saúde,134.9,1,0,Boleto
172,2023-01-22,17:49:00,Supermercado,14.9,4,4.17,PIX
176,2023-01-22,18:04:00,Casa/Móveis,123.9,2,0,Crédito
181,2023-01-24,23:53:00,Eletrodomésticos,1920.13,2,490.22,Boleto
177,2023-01-24,18:48:00,Livros,29.9,1,1.2,PIX
183,2023-01-24,18:34:00,Supermercado,39.9,4,7.98,PIX
180,2023-01-24,14:36:00,Tecnologia,1971.57,1,284.14,Crédito
182,2023-01-24,18:47:00,Casa/Móveis,72,3,12.96,Crédito
178,2023-01-24,22:32:00,Supermercado,40.9,5,8.18,PIX
185,2023-01-24,21:39:00,Livros,4.9,2,0.69,Boleto
184,2023-01-24,17:00:00,Supermercado,27.9,1,0,Crédito
179,2023-01-24,17:28:00,Casa/Móveis,182.9,2,0,Crédito
186,2023-01-24,17:22:00,Casa/Móveis,23.9,5,3.58,Crédito
188,2023-01-25,00:30:00,Beleza/Saúde,59.9,1,1.8,PIX
196,2023-01-25,15:13:00,Beleza/Saúde,62.9,2,6.29,Boleto
194,2023-01-25,23:53:00,Beleza/Saúde,161.9,4,45.33,PIX
195,2023-01-25,00:42:00,Tecnologia,2326.99,2,0,Crédito
187,2023-01-25,21:37:00,Tecnologia,3321.55,3,2167.5,PIX
192,2023-01-25,18:27:00,Supermercado,60.9,5,15.23,PIX
189,2023-01-25,16:51:00,Supermercado,15.9,2,0.64,Boleto
191,2023-01-25,23:12:00,Eletrodomésticos,2175.57,5,0,Crédito
197,2023-01-25,23:13:00,Casa/Móveis,96.9,5,33.92,Crédito
190,2023-01-25,22:04:00,Supermercado,61.9,4,17.33,PIX
198,2023-01-25,00:18:00,Eletrodomésticos,1475.75,1,93.96,PIX
193,2023-01-25,15:38:00,Supermercado,86.9,4,20.86,PIX
199,2023-01-26,18:00:00,Livros,2.9,5,1.45,Crédito
202,2023-01-26,21:44:00,Tecnologia,3560.45,3,0,PIX
205,2023-01-26,16:26:00,Supermercado,23.9,1,1.67,PIX
207,2023-01-26,19:25:00,Beleza/Saúde,201.9,1,18.17,Crédito
200,2023-01-26,15:21:00,Beleza/Saúde,40.9,3,3.68,Crédito
201,2023-01-26,17:41:00,Casa/Móveis,94.9,5,0,PIX
206,2023-01-26,18:32:00,Livros,48.9,3,10.27,Crédito
204,2023-01-26,19:48:00,Casa/Móveis,10.9,4,2.62,PIX
203,2023-01-26,14:11:00,Livros,11.9,1,0.95,PIX
208,2023-01-26,21:44:00,Livros,30.9,5,7.72,Boleto
212,2023-01-27,23:09:00,Tecnologia,1817.5,4,1101.38,Crédito
211,2023-01-27,18:56:00,Beleza/Saúde,89.9,1,0.9,Crédito
220,2023-01-27,21:25:00,Casa/Móveis,193.9,4,46.54,PIX
215,2023-01-27,22:14:00,Beleza/Saúde,194.9,4,38.98,PIX
213,2023-01-27,00:53:00,Beleza/Saúde,200.9,2,20.09,Crédito
210,2023-01-27,18:51:00,Eletrodomésticos,2284.96,4,0,Crédito
217,2023-01-27,14:15:00,Livros,12.9,4,1.03,Crédito
216,2023-01-27,16:27:00,Supermercado,55.9,4,20.12,Crédito
209,2023-01-27,23:57:00,Casa/Móveis,123.9,4,9.91,Crédito
219,2023-01-27,21:21:00,Casa/Móveis,272.9,4,0,Crédito
218,2023-01-27,23:48:00,Supermercado,91.9,4,0,Crédito
214,2023-01-27,21:56:00,Casa/Móveis,40.9,4,0,PIX
224,2023-01-28,20:14:00,Casa/Móveis,72.9,4,8.75,PIX
228,2023-01-28,14:46:00,Livros,45.9,3,5.51,Boleto
225,2023-01-28,17:20:00,Casa/Móveis,86.9,2,0,PIX
227,2023-01-28,00:53:00,Beleza/Saúde,129.9,4,0,PIX
229,2023-01-28,14:55:00,Supermercado,89.9,3,26.97,PIX
222,2023-01-28,18:26:00,Supermercado,61.9,2,9.9,PIX
223,2023-01-28,23:43:00,Casa/Móveis,8.9,5,2.67,PIX
226,2023-01-28,22:34:00,Eletrodomésticos,2372.59,1,37.92,Boleto
221,2023-01-28,23:16:00,Beleza/Saúde,147,3,0,Crédito
240,2023-01-29,21:47:00,Casa/Móveis,289.9,5,101.46,Boleto
234,2023-01-29,20:29:00,Tecnologia,3207.66,4,0,PIX
232,2023-01-29,22:53:00,Casa/Móveis,59.9,1,4.19,Crédito
241,2023-01-29,00:24:00,Eletrodomésticos,379.4,2,46.79,Crédito
233,2023-01-29,15:53:00,Casa/Móveis,234.9,4,0,PIX
238,2023-01-29,21:44:00,Casa/Móveis,175.9,3,0,PIX
236,2023-01-29,22:00:00,Eletrodomésticos,150.06,5,0,PIX
230,2023-01-29,00:40:00,Livros,17.9,4,7.16,Boleto
231,2023-01-29,18:17:00,Supermercado,28.9,4,4.62,Crédito
237,2023-01-29,18:51:00,Livros,84.9,5,29.72,Crédito
235,2023-01-29,00:43:00,Beleza/Saúde,214.9,5,0,Boleto
239,2023-01-29,23:01:00,Casa/Móveis,98.9,1,0,PIX
245,2023-01-31,23:06:00,Livros,7.9,4,0,PIX
246,2023-01-31,21:47:00,Beleza/Saúde,81.9,2,11.47,PIX
244,2023-01-31,18:52:00,Livros,24.9,5,6.22,PIX
249,2023-01-31,19:26:00,Livros,8.9,1,0.36,PIX
250,2023-01-31,18:51:00,Supermercado,12.9,3,0,Crédito
252,2023-01-31,23:51:00,Casa/Móveis,203,1,0,PIX
251,2023-01-31,22:33:00,Beleza/Saúde,21.9,4,4.38,Boleto
247,2023-01-31,17:18:00,Supermercado,27.9,1,0.28,PIX
248,2023-01-31,15:17:00,Beleza/Saúde,126.9,5,19.04,Boleto
242,2023-01-31,23:01:00,Livros,28.9,4,2.31,PIX
243,2023-01-31,17:51:00,Tecnologia,857.17,5,440.99,Crédito
258,2023-02-01,22:59:00,Supermercado,72.9,3,0,PIX
254,2023-02-01,21:07:00,Beleza/Saúde,108.9,4,34.85,Crédito
257,2023-02-01,20:23:00,Casa/Móveis,164,4,13.12,Crédito
259,2023-02-01,21:38:00,Casa/Móveis,66.9,2,9.37,Crédito
255,2023-02-01,19:21:00,Livros,22,4,3.52,PIX
253,2023-02-01,22:45:00,Tecnologia,2175.55,3,887.38,PIX
260,2023-02-01,17:40:00,Supermercado,92.9,2,1.86,PIX
256,2023-02-01,00:59:00,Tecnologia,3914.12,1,711.17,Boleto
267,2023-02-02,22:40:00,Eletrodomésticos,728.07,3,0,Crédito
263,2023-02-02,21:22:00,Beleza/Saúde,72.9,2,0,Crédito
261,2023-02-02,23:03:00,Beleza/Saúde,245.9,1,0,Crédito
264,2023-02-02,18:49:00,Casa/Móveis,155.9,1,12.47,PIX
266,2023-02-02,22:23:00,Beleza/Saúde,102.9,5,0,Crédito
268,2023-02-02,20:12:00,Supermercado,53.9,4,8.62,PIX
265,2023-02-02,20:17:00,Beleza/Saúde,17.9,3,0,Boleto
262,2023-02-02,19:11:00,Casa/Móveis,27.9,2,3.91,Crédito
272,2023-02-03,22:08:00,Casa/Móveis,319.9,5,0,Crédito
270,2023-02-03,19:11:00,Supermercado,95,4,15.2,Crédito
275,2023-02-03,15:09:00,Eletrodomésticos,1043.18,4,264.46,Crédito
269,2023-02-03,17:55:00,Supermercado,12.9,5,3.22,Crédito
277,2023-02-03,17:44:00,Supermercado,23.9,2,2.39,PIX
273,2023-02-03,18:41:00,Casa/Móveis,155.9,4,12.47,PIX
274,2023-02-03,14:50:00,Eletrodomésticos,1683.33,2,0,PIX
271,2023-02-03,22:12:00,Beleza/Saúde,184.9,3,22.19,Crédito
276,2023-02-03,22:03:00,Casa/Móveis,112.9,1,0,Crédito
284,2023-02-04,18:26:00,Eletrodomésticos,1933.18,4,123.4,Crédito
278,2023-02-04,20:37:00,Supermercado,94.9,4,30.37,Crédito
282,2023-02-04,23:09:00,Supermercado,18.9,1,0,Crédito
285,2023-02-04,19:59:00,Tecnologia,1626.66,5,0,PIX
280,2023-02-04,23:27:00,Supermercado,86.9,3,15.64,Boleto
283,2023-02-04,16:12:00,Livros,85.9,4,17.18,Crédito
281,2023-02-04,17:01:00,Beleza/Saúde,189.9,3,0,Boleto
279,2023-02-04,19:40:00,Casa/Móveis,296,5,74,Crédito
288,2023-02-05,21:11:00,Supermercado,7.9,5,3.56,Crédito
291,2023-02-05,23:25:00,Beleza/Saúde,131.9,5,0,Boleto
287,2023-02-05,21:25:00,Supermercado,82.9,1,4.15,Crédito
286,2023-02-05,22:44:00,Casa/Móveis,172.9,5,77.8,Crédito
293,2023-02-05,15:50:00,Supermercado,30.9,3,7.42,Boleto
294,2023-02-05,17:17:00,Supermercado,14.9,4,1.19,Crédito
292,2023-02-05,22:10:00,Casa/Móveis,78.9,2,11.05,Crédito
290,2023-02-05,21:57:00,Supermercado,93,3,22.32,PIX
289,2023-02-05,22:52:00,Tecnologia,866.8,5,221.04,PIX
303,2023-02-07,18:52:00,Supermercado,38.9,3,2.33,Crédito
301,2023-02-07,17:14:00,Tecnologia,856.29,4,881.78,Boleto
295,2023-02-07,00:43:00,Casa/Móveis,102.9,2,10.29,Crédito
297,2023-02-07,00:52:00,Tecnologia,702.22,3,634.93,Crédito
298,2023-02-07,22:56:00,Casa/Móveis,286.9,1,20.08,Crédito
302,2023-02-07,00:27:00,Livros,14.9,2,0,Crédito
296,2023-02-07,16:04:00,Casa/Móveis,196.9,4,15.75,PIX
300,2023-02-07,21:43:00,Casa/Móveis,154.9,4,43.37,Crédito
299,2023-02-07,23:07:00,Tecnologia,564.78,5,1426.56,Crédito
313,2023-02-08,00:48:00,Casa/Móveis,136,1,4.08,PIX
311,2023-02-08,18:26:00,Casa/Móveis,231,5,103.95,Boleto
308,2023-02-08,21:40:00,Eletrodomésticos,1366.36,1,108.65,PIX
310,2023-02-08,18:31:00,Livros,61.9,5,21.67,Crédito
312,2023-02-08,23:36:00,Supermercado,6.9,5,1.38,PIX
307,2023-02-08,20:17:00,Casa/Móveis,177.9,3,5.34,PIX
305,2023-02-08,14:18:00,Casa/Móveis,122.9,5,6.14,Boleto
309,2023-02-08,20:06:00,Eletrodomésticos,370.08,2,45.59,Boleto
304,2023-02-08,00:54:00,Beleza/Saúde,120.9,5,18.13,Boleto
306,2023-02-08,17:27:00,Beleza/Saúde,78.9,2,4.73,Boleto
324,2023-02-09,16:27:00,Casa/Móveis,145,1,2.9,Crédito
318,2023-02-09,22:28:00,Beleza/Saúde,86.9,5,30.42,PIX
317,2023-02-09,00:39:00,Eletrodomésticos,2395.59,2,0,PIX
322,2023-02-09,00:15:00,Casa/Móveis,110.9,5,33.27,Boleto
314,2023-02-09,19:20:00,Beleza/Saúde,52.9,4,21.16,Boleto
315,2023-02-09,18:40:00,Supermercado,95.9,3,17.26,Crédito
323,2023-02-09,17:14:00,Casa/Móveis,146.9,2,11.75,PIX
316,2023-02-09,22:11:00,Livros,113.9,2,0,Crédito
321,2023-02-09,15:30:00,Livros,11.9,3,3.57,PIX
319,2023-02-09,22:32:00,Eletrodomésticos,233.35,4,69.98,Crédito
320,2023-02-09,17:15:00,Casa/Móveis,80.9,1,4.85,PIX
332,2023-02-10,16:14:00,Supermercado,95.9,3,17.26,Boleto
326,2023-02-10,23:13:00,Supermercado,93,5,32.55,Crédito
325,2023-02-10,23:08:00,Supermercado,16.9,3,3.04,Crédito
328,2023-02-10,21:05:00,Beleza/Saúde,40.9,2,4.09,PIX
329,2023-02-10,23:54:00,Casa/Móveis,69.9,3,12.58,PIX
333,2023-02-10,21:13:00,Beleza/Saúde,111,4,31.08,Crédito
331,2023-02-10,17:47:00,Casa/Móveis,263.9,2,15.83,Crédito
327,2023-02-10,22:54:00,Livros,33.9,4,6.78,Crédito
330,2023-02-10,15:00:00,Livros,76.9,2,0,PIX
338,2023-02-11,18:55:00,Livros,19.9,5,6.97,Crédito
340,2023-02-11,18:56:00,Supermercado,72,2,0,Boleto
336,2023-02-11,16:39:00,Casa/Móveis,43,2,0,Crédito
339,2023-02-11,14:29:00,Casa/Móveis,181.9,4,14.55,Boleto
343,2023-02-11,18:30:00,Casa/Móveis,14.9,3,4.02,Crédito
335,2023-02-11,20:35:00,Casa/Móveis,298.9,1,14.94,Crédito
344,2023-02-11,20:04:00,Livros,40,3,8.4,PIX
334,2023-02-11,18:42:00,Supermercado,98,3,29.4,PIX
337,2023-02-11,23:37:00,Supermercado,63.9,2,1.28,Crédito
342,2023-02-11,15:00:00,Eletrodomésticos,903.34,4,285.58,PIX
345,2023-02-11,18:37:00,Casa/Móveis,43.9,1,2.63,Crédito
341,2023-02-11,16:23:00,Eletrodomésticos,239.56,3,0,PIX
354,2023-02-12,18:28:00,Beleza/Saúde,244.9,3,36.74,PIX
348,2023-02-12,17:46:00,Beleza/Saúde,230.9,3,34.64,PIX
355,2023-02-12,18:31:00,Beleza/Saúde,170.9,4,54.69,Crédito
356,2023-02-12,21:30:00,Supermercado,16.9,1,1.18,PIX
352,2023-02-12,21:24:00,Beleza/Saúde,128.9,3,34.8,PIX
349,2023-02-12,23:12:00,Beleza/Saúde,62.9,1,3.77,Crédito
347,2023-02-12,16:48:00,Beleza/Saúde,234.9,2,0,PIX
353,2023-02-12,16:53:00,Supermercado,79.9,3,0,Crédito
350,2023-02-12,23:29:00,Beleza/Saúde,80.9,4,19.42,Crédito
346,2023-02-12,17:20:00,Eletrodomésticos,1149.45,4,364.78,Boleto
351,2023-02-12,19:24:00,Supermercado,40.9,5,8.18,Crédito
358,2023-02-14,20:06:00,Supermercado,50,3,4.5,Boleto
362,2023-02-14,23:36:00,Beleza/Saúde,120.9,1,2.42,Crédito
359,2023-02-14,22:10:00,Casa/Móveis,58.9,2,3.53,Crédito
360,2023-02-14,19:23:00,Casa/Móveis,137,2,19.18,Crédito
363,2023-02-14,15:49:00,Supermercado,11.9,5,4.76,Crédito
365,2023-02-14,14:07:00,Eletrodomésticos,1800.8,3,430.79,Crédito
361,2023-02-14,17:10:00,Casa/Móveis,65,2,1.3,Boleto
364,2023-02-14,15:59:00,Supermercado,18.9,3,3.4,Crédito
357,2023-02-14,16:39:00,Livros,86.9,1,4.35,PIX
369,2023-02-15,14:43:00,Livros,27.9,1,0,Crédito
366,2023-02-15,21:33:00,Casa/Móveis,191.9,1,0,Crédito
372,2023-02-15,22:58:00,Casa/Móveis,95,2,11.4,PIX
371,2023-02-15,00:36:00,Casa/Móveis,156.9,5,0,PIX
368,2023-02-15,16:34:00,Livros,45.9,5,0,Boleto
376,2023-02-15,21:28:00,Tecnologia,3269.82,2,859.91,PIX
370,2023-02-15,18:30:00,Beleza/Saúde,229.9,1,13.79,Crédito
367,2023-02-15,17:06:00,Livros,7.9,5,1.98,PIX
374,2023-02-15,15:12:00,Beleza/Saúde,89.9,1,4.5,Boleto
373,2023-02-15,21:41:00,Supermercado,79.9,1,4,Crédito
375,2023-02-15,22:30:00,Supermercado,8.9,5,2.22,PIX
388,2023-02-16,23:05:00,Eletrodomésticos,2179.3,1,174.04,Boleto
387,2023-02-16,19:52:00,Eletrodomésticos,1909.56,1,0,Crédito
